#taxon1	taxon2	min95	max95
Taeniopygia_guttata	Numida_meleagris	1	1
Taeniopygia_guttata	Hirundo_rustica	0.16492	0.468413
Taeniopygia_guttata	Motacilla_alba_alba	0.138015	0.380333
Anas_platyrhynchos	Numida_meleagris	0.422944	0.869137
Gallus_gallus	Numida_meleagris	0.188035	0.463194
Gallus_gallus	Coturnix_japonica	0.119887	0.330417
Gallus_gallus	Meleagris_gallopavo	0.0947835	0.278759
