#taxon1	taxon2	min95	max95
Taeniopygia_guttata	Numida_meleagris	1	1
Taeniopygia_guttata	Hirundo_rustica	0.183564	0.653959
Taeniopygia_guttata	Motacilla_alba_alba	0.1122	0.486524
Anas_platyrhynchos	Numida_meleagris	0.497483	0.977785
Gallus_gallus	Numida_meleagris	0.147241	0.406167
Gallus_gallus	Coturnix_japonica	0.092482	0.289162
Gallus_gallus	Meleagris_gallopavo	0.0825241	0.265972
