#taxon1	taxon2	min95	max95
Taeniopygia_guttata	Numida_meleagris	1	1
Taeniopygia_guttata	Hirundo_rustica	0.20625	0.705973
Taeniopygia_guttata	Motacilla_alba_alba	0.147185	0.560295
Anas_platyrhynchos	Numida_meleagris	0.485067	0.983724
Gallus_gallus	Numida_meleagris	0.184394	0.478488
Gallus_gallus	Coturnix_japonica	0.131697	0.35884
Gallus_gallus	Meleagris_gallopavo	0.119441	0.335464
