#taxon1	taxon2	min95	max95
Taeniopygia_guttata	Numida_meleagris	1	1
Taeniopygia_guttata	Hirundo_rustica	0.248985	0.778266
Taeniopygia_guttata	Motacilla_alba_alba	0.173748	0.57952
Anas_platyrhynchos	Numida_meleagris	0.448106	0.940907
Gallus_gallus	Numida_meleagris	0.169199	0.452611
Gallus_gallus	Coturnix_japonica	0.119511	0.346892
Gallus_gallus	Meleagris_gallopavo	0.109085	0.322249
